experiment,condition,rep,model,order_quantity,bias,bias_pct,parse_success
E1_Baseline,E1_baseline,1,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,2,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,3,deepseek-v4-flash,118,-4,-3.3,True
E1_Baseline,E1_baseline,4,deepseek-v4-flash,113,-9,-7.4,True
E1_Baseline,E1_baseline,5,deepseek-v4-flash,117,-5,-4.1,True
E1_Baseline,E1_baseline,6,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,7,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,8,deepseek-v4-flash,110,-12,-9.8,True
E1_Baseline,E1_baseline,9,deepseek-v4-flash,113,-9,-7.4,True
E1_Baseline,E1_baseline,10,deepseek-v4-flash,109,-13,-10.7,True
E1_Baseline,E1_baseline,11,deepseek-v4-flash,116,-6,-4.9,True
E1_Baseline,E1_baseline,12,deepseek-v4-flash,117,-5,-4.1,True
E1_Baseline,E1_baseline,13,deepseek-v4-flash,117,-5,-4.1,True
E1_Baseline,E1_baseline,14,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,15,deepseek-v4-flash,113,-9,-7.4,True
E1_Baseline,E1_baseline,16,deepseek-v4-flash,110,-12,-9.8,True
E1_Baseline,E1_baseline,17,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,18,deepseek-v4-flash,116,-6,-4.9,True
E1_Baseline,E1_baseline,19,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,20,deepseek-v4-flash,113,-9,-7.4,True
E1_Baseline,E1_baseline,21,deepseek-v4-flash,110,-12,-9.8,True
E1_Baseline,E1_baseline,22,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,23,deepseek-v4-flash,117,-5,-4.1,True
E1_Baseline,E1_baseline,24,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,25,deepseek-v4-flash,110,-12,-9.8,True
E1_Baseline,E1_baseline,26,deepseek-v4-flash,110,-12,-9.8,True
E1_Baseline,E1_baseline,27,deepseek-v4-flash,107,-15,-12.3,True
E1_Baseline,E1_baseline,28,deepseek-v4-flash,112,-10,-8.2,True
E1_Baseline,E1_baseline,29,deepseek-v4-flash,117,-5,-4.1,True
E1_Baseline,E1_baseline,30,deepseek-v4-flash,111,-11,-9.0,True
E2_LowAnchor,E2_anchor_low,1,deepseek-v4-flash,68,-54,-44.3,True
E2_LowAnchor,E2_anchor_low,2,deepseek-v4-flash,69,-53,-43.4,True
E2_LowAnchor,E2_anchor_low,3,deepseek-v4-flash,73,-49,-40.2,True
E2_LowAnchor,E2_anchor_low,4,deepseek-v4-flash,78,-44,-36.1,True
E2_LowAnchor,E2_anchor_low,5,deepseek-v4-flash,82,-40,-32.8,True
E2_LowAnchor,E2_anchor_low,6,deepseek-v4-flash,70,-52,-42.6,True
E2_LowAnchor,E2_anchor_low,7,deepseek-v4-flash,76,-46,-37.7,True
E2_LowAnchor,E2_anchor_low,8,deepseek-v4-flash,74,-48,-39.3,True
E2_LowAnchor,E2_anchor_low,9,deepseek-v4-flash,82,-40,-32.8,True
E2_LowAnchor,E2_anchor_low,10,deepseek-v4-flash,65,-57,-46.7,True
E2_LowAnchor,E2_anchor_low,11,deepseek-v4-flash,102,-20,-16.4,True
E2_LowAnchor,E2_anchor_low,12,deepseek-v4-flash,73,-49,-40.2,True
E2_LowAnchor,E2_anchor_low,13,deepseek-v4-flash,83,-39,-32.0,True
E2_LowAnchor,E2_anchor_low,14,deepseek-v4-flash,79,-43,-35.2,True
E2_LowAnchor,E2_anchor_low,15,deepseek-v4-flash,64,-58,-47.5,True
E2_LowAnchor,E2_anchor_low,16,deepseek-v4-flash,50,-72,-59.0,True
E2_LowAnchor,E2_anchor_low,17,deepseek-v4-flash,50,-72,-59.0,True
E2_LowAnchor,E2_anchor_low,18,deepseek-v4-flash,78,-44,-36.1,True
E2_LowAnchor,E2_anchor_low,19,deepseek-v4-flash,73,-49,-40.2,True
E2_LowAnchor,E2_anchor_low,20,deepseek-v4-flash,73,-49,-40.2,True
E2_LowAnchor,E2_anchor_low,21,deepseek-v4-flash,76,-46,-37.7,True
E2_LowAnchor,E2_anchor_low,22,deepseek-v4-flash,73,-49,-40.2,True
E2_LowAnchor,E2_anchor_low,23,deepseek-v4-flash,77,-45,-36.9,True
E2_LowAnchor,E2_anchor_low,24,deepseek-v4-flash,67,-55,-45.1,True
E2_LowAnchor,E2_anchor_low,25,deepseek-v4-flash,67,-55,-45.1,True
E2_LowAnchor,E2_anchor_low,26,deepseek-v4-flash,78,-44,-36.1,True
E2_LowAnchor,E2_anchor_low,27,deepseek-v4-flash,50,-72,-59.0,True
E2_LowAnchor,E2_anchor_low,28,deepseek-v4-flash,50,-72,-59.0,True
E2_LowAnchor,E2_anchor_low,29,deepseek-v4-flash,50,-72,-59.0,True
E2_LowAnchor,E2_anchor_low,30,deepseek-v4-flash,67,-55,-45.1,True
E2_HighAnchor,E2_anchor_high,1,deepseek-v4-flash,120,-2,-1.6,True
E2_HighAnchor,E2_anchor_high,2,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,3,deepseek-v4-flash,112,-10,-8.2,True
E2_HighAnchor,E2_anchor_high,4,deepseek-v4-flash,117,-5,-4.1,True
E2_HighAnchor,E2_anchor_high,5,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,6,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,7,deepseek-v4-flash,114,-8,-6.6,True
E2_HighAnchor,E2_anchor_high,8,deepseek-v4-flash,126,4,3.3,True
E2_HighAnchor,E2_anchor_high,9,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,10,deepseek-v4-flash,122,0,0.0,True
E2_HighAnchor,E2_anchor_high,11,deepseek-v4-flash,96,-26,-21.3,True
E2_HighAnchor,E2_anchor_high,12,deepseek-v4-flash,117,-5,-4.1,True
E2_HighAnchor,E2_anchor_high,13,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,14,deepseek-v4-flash,118,-4,-3.3,True
E2_HighAnchor,E2_anchor_high,15,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,16,deepseek-v4-flash,118,-4,-3.3,True
E2_HighAnchor,E2_anchor_high,17,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,18,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,19,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,20,deepseek-v4-flash,127,5,4.1,True
E2_HighAnchor,E2_anchor_high,21,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,22,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,23,deepseek-v4-flash,117,-5,-4.1,True
E2_HighAnchor,E2_anchor_high,24,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,25,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,26,deepseek-v4-flash,113,-9,-7.4,True
E2_HighAnchor,E2_anchor_high,27,deepseek-v4-flash,112,-10,-8.2,True
E2_HighAnchor,E2_anchor_high,28,deepseek-v4-flash,118,-4,-3.3,True
E2_HighAnchor,E2_anchor_high,29,deepseek-v4-flash,81,-41,-33.6,True
